Location_Name,IATA_ICAO_CODE
Adelaide,ADL
Albany,ALH
Albury,ABX
AliceSprings,ASP
BadgerysCreek,SWZ
Ballarat,YBLT
Bendigo,BXG
Brisbane,BNE
Cairns,CNS
Canberra,CBR
Cobar,CAZ
CoffsHarbour,CFS
Dartmoor,MGB
Darwin,DRW
GoldCoast,OOL
Hobart,HBA
Katherine,YKHG
Launceston,LST
Melbourne,MLB
MelbourneAirport,MLB
Mildura,MQL
Moree,MRZ
MountGambier,MGB
MountGinini,CBR
Newcastle,NTL
Nhil,YNHL
NorahHead,NTL
NorfolkIsland,NLK
Nuriootpa,ADL
PearceRAAF,YPEA
Penrith,YXNE
Perth,PER
PerthAirport,PER
Portland,PTJ
Richmond,RCM
Sale,YSLT
SalmonGums,YESP
Sydney,SYD
SydneyAirport,SYD
Townsville,TSV
Tuggeranong,CBR
Uluru,AYQ
WaggaWagga,WGA
Walpole,YWPE
Watsonia,MEL
Williamtown,NTL
Witchcliffe,PER
Wollongong,WOL
Woomera,UMR
